id,label
train/1.jpg,3
train/2.jpg,80
train/3.jpg,95
train/4.jpg,78
train/5.jpg,85
train/6.jpg,47
train/7.jpg,38
train/8.jpg,74
train/9.jpg,3
train/10.jpg,62
train/11.jpg,46
train/12.jpg,68
train/13.jpg,25
train/14.jpg,75
train/15.jpg,55
train/16.jpg,93
train/17.jpg,27
train/18.jpg,86
train/19.jpg,94
train/20.jpg,2
train/21.jpg,27
train/22.jpg,14
train/23.jpg,31
train/24.jpg,80
train/25.jpg,4
train/26.jpg,86
train/27.jpg,31
train/28.jpg,42
train/29.jpg,33
train/30.jpg,54
train/31.jpg,79
train/32.jpg,90
train/33.jpg,6
train/34.jpg,18
train/35.jpg,83
train/36.jpg,95
train/37.jpg,95
train/38.jpg,48
train/39.jpg,99
train/40.jpg,32
train/41.jpg,7
train/42.jpg,38
train/43.jpg,38
train/44.jpg,9
train/45.jpg,93
train/46.jpg,46
train/47.jpg,40
train/48.jpg,26
train/49.jpg,60
train/50.jpg,94
train/51.jpg,50
train/52.jpg,63
train/53.jpg,77
train/54.jpg,60
train/55.jpg,72
train/56.jpg,99
train/57.jpg,31
train/58.jpg,98
train/59.jpg,17
train/60.jpg,42
train/61.jpg,18
train/62.jpg,55
train/63.jpg,68
train/64.jpg,2
train/65.jpg,78
train/66.jpg,47
train/67.jpg,45
train/68.jpg,29
train/69.jpg,49
train/70.jpg,60
train/71.jpg,31
train/72.jpg,65
train/73.jpg,75
train/74.jpg,36
train/75.jpg,19
train/76.jpg,7
train/77.jpg,13
train/78.jpg,31
train/79.jpg,62
train/80.jpg,26
train/81.jpg,25
train/82.jpg,97
train/83.jpg,30
train/84.jpg,29
train/85.jpg,8
train/86.jpg,43
train/87.jpg,55
train/88.jpg,39
train/89.jpg,57
train/90.jpg,82
train/91.jpg,34
train/92.jpg,37
train/93.jpg,66
train/94.jpg,99
train/95.jpg,5
train/96.jpg,1
train/97.jpg,79
train/98.jpg,12
train/99.jpg,0
train/100.jpg,82
train/101.jpg,52
train/102.jpg,61
train/103.jpg,61
train/104.jpg,7
train/105.jpg,66
train/106.jpg,7
train/107.jpg,96
train/108.jpg,88
train/109.jpg,77
train/110.jpg,50
train/111.jpg,95
train/112.jpg,73
train/113.jpg,54
train/114.jpg,15
train/115.jpg,5
train/116.jpg,91
train/117.jpg,50
train/118.jpg,94
train/119.jpg,39
train/120.jpg,10
train/121.jpg,20
train/122.jpg,40
train/123.jpg,5
train/124.jpg,92
train/125.jpg,29
train/126.jpg,58
train/127.jpg,44
train/128.jpg,6
train/129.jpg,35
train/130.jpg,63
train/131.jpg,89
train/132.jpg,58
train/133.jpg,9
train/134.jpg,36
train/135.jpg,96
train/136.jpg,50
train/137.jpg,94
train/138.jpg,83
train/139.jpg,80
train/140.jpg,4
train/141.jpg,93
train/142.jpg,37
train/143.jpg,39
train/144.jpg,76
train/145.jpg,8
train/146.jpg,20
train/147.jpg,72
train/148.jpg,47
train/149.jpg,4
train/150.jpg,62
train/151.jpg,13
train/152.jpg,76
train/153.jpg,0
train/154.jpg,36
train/155.jpg,83
train/156.jpg,64
train/157.jpg,51
train/158.jpg,90
train/159.jpg,92
train/160.jpg,11
train/161.jpg,27
train/162.jpg,95
train/163.jpg,45
train/164.jpg,56
train/165.jpg,52
train/166.jpg,44
train/167.jpg,78
train/168.jpg,75
train/169.jpg,31
train/170.jpg,46
train/171.jpg,28
train/172.jpg,18
train/173.jpg,47
train/174.jpg,59
train/175.jpg,39
train/176.jpg,42
train/177.jpg,42
train/178.jpg,21
train/179.jpg,48
train/180.jpg,72
train/181.jpg,43
train/182.jpg,88
train/183.jpg,47
train/184.jpg,48
train/185.jpg,45
train/186.jpg,52
train/187.jpg,37
train/188.jpg,12
train/189.jpg,29
train/190.jpg,15
train/191.jpg,77
train/192.jpg,6
train/193.jpg,99
train/194.jpg,64
train/195.jpg,48
train/196.jpg,8
train/197.jpg,3
train/198.jpg,69
train/199.jpg,75
train/200.jpg,44
train/201.jpg,39
train/202.jpg,46
train/203.jpg,62
train/204.jpg,88
train/205.jpg,74
train/206.jpg,62
train/207.jpg,53
train/208.jpg,40
train/209.jpg,88
train/210.jpg,15
train/211.jpg,38
train/212.jpg,96
train/213.jpg,68
train/214.jpg,13
train/215.jpg,4
train/216.jpg,97
train/217.jpg,38
train/218.jpg,31
train/219.jpg,97
train/220.jpg,73
train/221.jpg,78
train/222.jpg,3
train/223.jpg,82
train/224.jpg,81
train/225.jpg,7
train/226.jpg,54
train/227.jpg,98
train/228.jpg,4
train/229.jpg,79
train/230.jpg,66
train/231.jpg,47
train/232.jpg,37
train/233.jpg,45
train/234.jpg,94
train/235.jpg,18
train/236.jpg,50
train/237.jpg,75
train/238.jpg,70
train/239.jpg,73
train/240.jpg,77
train/241.jpg,10
train/242.jpg,88
train/243.jpg,93
train/244.jpg,29
train/245.jpg,98
train/246.jpg,42
train/247.jpg,32
train/248.jpg,98
train/249.jpg,56
train/250.jpg,65
train/251.jpg,97
train/252.jpg,50
train/253.jpg,69
train/254.jpg,43
train/255.jpg,96
train/256.jpg,61
train/257.jpg,75
train/258.jpg,23
train/259.jpg,36
train/260.jpg,2
train/261.jpg,2
train/262.jpg,87
train/263.jpg,31
train/264.jpg,35
train/265.jpg,71
train/266.jpg,96
train/267.jpg,10
train/268.jpg,48
train/269.jpg,61
train/270.jpg,18
train/271.jpg,81
train/272.jpg,47
train/273.jpg,71
train/274.jpg,60
train/275.jpg,1
train/276.jpg,22
train/277.jpg,38
train/278.jpg,78
train/279.jpg,65
train/280.jpg,30
train/281.jpg,39
train/282.jpg,23
train/283.jpg,69
train/284.jpg,58
train/285.jpg,64
train/286.jpg,17
train/287.jpg,9
train/288.jpg,52
train/289.jpg,9
train/290.jpg,5
train/291.jpg,66
train/292.jpg,87
train/293.jpg,48
train/294.jpg,69
train/295.jpg,68
train/296.jpg,64
train/297.jpg,87
train/298.jpg,78
train/299.jpg,47
train/300.jpg,41
train/301.jpg,25
train/302.jpg,73
train/303.jpg,43
train/304.jpg,80
train/305.jpg,65
train/306.jpg,13
train/307.jpg,90
train/308.jpg,2
train/309.jpg,26
train/310.jpg,12
train/311.jpg,98
train/312.jpg,58
train/313.jpg,72
train/314.jpg,40
train/315.jpg,21
train/316.jpg,5
train/317.jpg,50
train/318.jpg,27
train/319.jpg,0
train/320.jpg,50
train/321.jpg,73
train/322.jpg,18
train/323.jpg,69
train/324.jpg,59
train/325.jpg,75
train/326.jpg,27
train/327.jpg,50
train/328.jpg,89
train/329.jpg,16
train/330.jpg,90
train/331.jpg,9
train/332.jpg,79
train/333.jpg,14
train/334.jpg,4
train/335.jpg,13
train/336.jpg,1
train/337.jpg,47
